Mentor_Id,UDISE
10366,9450302604
10366,9450302701
18826,9471102501
18826,9471102602
18826,9471206801
18826,9471206901
18826,9480106402
18826,9480612301
18826,9480612401
22625,9040701302
22625,9040707303
22625,9040709002
23384,9040701302
23384,9040707303
23384,9040709002
23607,9681101401
23607,9681103201
23607,9681103401
23607,9681103601
23607,9681111301
23607,9681112202
25082,9660404801
25082,9660406201
25082,9660406301
25082,9660408002
25082,9660411405
25308,9600905002
25308,9601902101
25325,9600905002
25325,9601902101
664889,9650600802
664889,9650600901
664889,9650601001
664889,9650603502
664889,9650604501
664889,9650604701
664889,9650615501
664965,9651000115
664965,9651000117
664965,9651000202
664965,9651000402
664965,9651000701
664965,9651000801
664965,9651000802
664965,9651000901
665161,9651113101
665847,9650700603
666352,9651400802
666352,9651400901
666352,9651401003
666352,9651401301
666352,9651401701
669445,9651208109
669445,9651208501
669445,9651208601
669445,9651209203
669445,9651209401
669445,9651210102
669445,9651210302
669818,9300106001
669818,9300106201
669818,9300109301
669818,9300109701
669818,9300109801
669818,9300110001
670095,9651305803
670095,9651305901
670095,9651306001
670095,9651306301
670095,9651306401
670095,9651306501
670139,9650303701
670139,9650310801
670242,9300106001
670242,9300106201
670242,9300109301
670242,9300109701
670242,9300109801
670242,9300110001
670244,9650214301
670244,9650214502
670244,9650214601
670244,9650215101
670244,9650220402
670244,9651305301
670360,9300206501
670360,9300206901
670360,9300212501
670360,9300212701
670365,9651206801
670365,9651206901
670365,9651207101
670365,9651207202
670365,9651207204
670383,9651208109
670383,9651208501
670383,9651208601
670383,9651209203
670383,9651209401
670383,9651210102
670383,9651210302
670487,9650701001
670487,9650703802
670487,9650712301
670707,9650701001
670707,9650703802
670707,9650712301
673888,9651400802
673888,9651400901
673888,9651401003
673888,9651401301
673888,9651401701
674158,9650907101
674158,9650907402
674158,9650907803
674191,9650803001
674191,9650803403
674191,9650803602
674191,9650805002
674191,9650811101
674191,9650811102
674312,9650100701
674312,9651001401
674312,9651001704
674312,9651003302
674521,9651000115
674521,9651000117
674521,9651000202
674521,9651000402
674521,9651000701
674521,9651000801
674521,9651000802
674521,9651000901
674579,9650100401
674579,9650100701
674579,9651003302
674579,9651004301
674579,9651004402
674753,9300206501
674753,9300206901
674753,9300212501
674753,9300212701
697583,9431804401
697583,9431804412
697583,9431807003
697583,9431808602
697613,9430208401
697623,9430701101
697642,9431804401
697642,9431804412
697642,9431807003
697642,9431808602
697644,9430200801
697644,9430207802
697644,9430208401
697644,9430209504
697653,9430900101
697653,9430901402
697653,9430902104
697653,9430904801
697653,9430905701
697653,9430908601
697655,9431100101
697655,9431108801
697655,9431111402
697660,9430900101
697660,9430901402
697660,9430902104
697660,9430905701
697661,9430201901
697661,9430207501
697661,9430209701
697662,9430701804
697662,9430705605
697662,9430705703
697662,9430707402
697662,9430709101
697696,9431912401
697696,9431913702
698335,9280801901
698335,9280802501
698335,9280802601
698335,9280803101
700332,9070101402
700332,9070101501
717470,9750504402
717470,9750505902
719076,9590702501
719076,9590702804
719076,9590703704
719076,9590703803
719076,9590704002
719085,9590702501
719085,9590702804
719085,9590703704
719085,9590703803
719085,9590704002
722755,9100101702
722755,9100103601
722755,9100106802
722755,9100106902
722755,9100109302
722763,9100100101
722763,9100107601
722763,9100107821
722763,9100109403
722763,9100110401
722763,9100111001
722770,9100109302
722777,9100402501
722777,9100405004
722777,9100405201
722777,9100408302
722777,9100409202
722777,9100411201
722780,9100405004
722780,9100405201
722780,9100408302
722780,9100411201
723039,9580800503
723039,9580800602
723039,9580801302
723039,9580803001
723039,9580804301
723039,9580805203
723039,9580805401
723153,9580100101
723153,9580102501
723153,9580105701
723153,9580106001
723153,9580107003
723153,9580109001
723922,9580800503
723922,9580800602
723922,9580801302
723922,9580803001
723922,9580804301
723922,9580805203
723922,9580805401
723936,9580700102
723936,9580702001
723936,9580703601
723936,9580704001
723936,9580705503
723936,9580705901
723936,9580708101
723936,9580709502
723936,9580709902
724285,9580700102
724285,9580702001
724285,9580703601
724285,9580704001
724285,9580705503
724285,9580705901
724285,9580708101
724285,9580709502
724285,9580709902
724598,9240705903
724598,9240907901
724598,9241401601
724598,9241901710
724598,9241912503
724621,9660404801
724621,9660406201
724621,9660406301
724621,9660408002
724621,9660411405
724621,9660411601
725003,9241901710
727956,9582000504
727956,9582002309
727956,9582003502
727956,9582004501
727956,9582005602
729223,9580100101
729223,9580102501
729223,9580105701
729223,9580106001
729223,9580107003
729223,9580109001
735243,9260302101
735243,9260303401
735243,9260303501
735243,9260304601
735243,9260305001
735599,9260302101
735599,9260303401
735599,9260303501
735599,9260304601
735599,9260305001
735913,9260202401
735913,9260202501
735913,9260206602
735913,9260209001
735913,9260210501
735913,9260211901
740951,9261305003
740951,9261308301
740951,9261313401
745755,9600709601
745755,9600710801
745755,9601705706
749400,9600403801
750900,9600406501
750900,9601101701
750900,9601104201
751048,9600301602
768123,9170101401
768123,9171312001
773892,9410500104
773892,9410500107
773892,9410500202
773892,9410500404
773892,9410501905
774376,9470112102
774376,9470112601
774376,9471107801
774376,9471301602
774376,9471302606
774376,9480109201
774376,9480109401
774376,9480703101
774376,9480703401
953728,9750504402
953728,9750505902
954050,9450106501
954050,9450410101
954050,9451007701
954050,9451007902
954070,9450811001
954070,9451109201
954082,9450804201
954102,9450810201
954102,9450810701
954102,9451107401
954102,9451108201
954102,9451201001
954102,9451202102
954109,9450106501
954109,9450410101
954109,9451007701
954109,9451007902
954117,9450811001
954117,9451109201
954121,9450112601
954121,9450405404
954143,9450804201
954175,9450305602
954175,9450306001
954183,9450302604
954183,9450302701
954187,9450305602
954187,9450306001
954197,9450802501
954197,9452201101
954197,9452201301
954441,9370202901
954441,9370406311
954441,9370411801
954446,9370101202
954446,9370600309
954447,9370101202
954447,9370600309
954455,9370102204
954455,9370307503
954455,9370307602
954455,9370602101
954456,9370102204
954456,9370307503
954456,9370307602
954456,9370602101
954495,9370105001
954509,9370105501
954509,9370105701
954509,9370607601
954510,9370105501
954510,9370105701
954510,9370607601
954526,9370208402
954526,9370208503
954526,9370502102
954526,9370502301
954527,9370208402
954527,9370208503
954527,9370502102
954527,9370502301
954538,9370503802
954544,9370503804
954557,9370200203
954557,9370201604
954557,9370201703
954557,9370404501
954557,9370404601
954558,9370200203
954558,9370201604
954558,9370201703
954558,9370404501
954558,9370404601
954560,9370204705
954560,9370300109
954565,9370201001
954565,9370405201
954565,9370405501
954567,9370201001
954567,9370405201
954567,9370405501
954568,9370201601
954568,9370212702
954568,9370300401
954568,9370405601
954568,9370405901
954572,9370201601
954572,9370212702
954572,9370300401
954572,9370405601
954572,9370405901
954616,9130101102
954616,9130102702
954616,9130110301
954617,9130702608
954698,9130608201
954736,9130400102
954736,9130402501
954736,9130410001
954753,9130702601
954753,9130702608
954753,9130705801
954764,9130400102
954764,9130402501
954764,9130410001
955016,9440209003
955016,9440306101
955016,9440306401
955016,9440403502
955016,9440802801
955063,9440101801
955063,9440600901
955063,9440608301
955063,9440801703
955073,9440308502
955073,9440405901
955073,9440407301
955214,9670514601
955214,9670708601
955214,9670709101
955214,9670806701
955214,9670806802
955215,9670509201
955215,9670509301
955215,9670603101
955215,9670603501
955215,9670802401
955233,9670503501
955233,9670511901
955233,9670706801
955233,9670801201
955233,9670801301
955241,9670505701
955241,9670505801
955241,9670707202
955241,9670709901
955241,9670806401
955241,9670806902
955243,9670201301
